Grouped Metabolites,Clinical data 95% CI,Clinical data R2,Clinical data p-value,Diet 95% CI,Diet R2,Diet p-value,Full model 95% CI,Full model R2,Full model p-value,Genetics 95% CI,Genetics R2,Genetics p-value,Lifestyle 95% CI,Lifestyle R2,Lifestyle p-value,Microbiome 95% CI,Microbiome R2,Microbiome p-value,Time of day 95% CI,Time of day R2,Time of day p-value,CHEMICAL_ID,COMP_ID,Group   HMDB_ID,Sample   HMDB_ID,BIOCHEMICAL,CAS,CHEMSPIDER,KEGG,MASS,PATHWAY_SORTORDER,PLATFORM,PUBCHEM,RI,SUB_PATHWAY,SUPER_PATHWAY,COMMENT,metabolite,micro_r2,geno_r2,total,group,BIOCHEMICAL_NAME
100002049,,-0.00874729914652117,1.0,,-0.00290261906198852,1.0,"(0.12080439577997337, 0.18429598713639816)",0.16356780751912,9.82681043025428e-22,,-0.00347712277028566,1.0,,-0.0192645902201336,1.0,"(0.11002105401471556, 0.17725478432175326)",0.15323181657752,5.23713956043555e-19,"(-0.003155464671774982, 0.02916472321335433)",0.0284667794820503,0.000397605609360371,100002049,37445,,,4-hydroxycoumarin,1076-38-6,10254753.0,C20414,161.02441,4174.0,LC/MS Neg,54682930.0,2470.0,Drug,Xenobiotics,4-hydroxycoumarin,metabolite_100002049,0.15323181657752,0.0,0.15323181657752,microbiome,4-hydroxycoumarin
X - 11315,"(-0.05091780630451572, 0.04822257162515349)",0.0405115928723385,0.105989298139409,"(0.29880888361226465, 0.3605011533216601)",0.359586544735334,1.10413579646728e-97,"(0.2830332105309767, 0.34159414501202273)",0.353219697422953,3.15405399608734e-102,,-0.0238940388644228,1.0,,-0.00461373450773106,1.0,"(0.08487803064295603, 0.1576622904905857)",0.151683047490187,2.580918235467e-15,,-0.0243791533967681,1.0,X - 11315,49592,,,X - 11315,,,,128.07154,,LC/MS Neg,,1157.0,,,elucidation in progress; may be an amino acid derivative,metabolite_X - 11315,0.151683047490187,0.0,0.151683047490187,microbiome,X - 11315
100009002,"(-0.07187823270060313, 0.026668487468139344)",0.00565731774032851,0.818001803848906,"(0.272641140906499, 0.3404671515415121)",0.339669557945518,4.52684549898068e-79,"(0.2879561542855715, 0.3501597437322822)",0.370420140997577,1.43793105525394e-103,,-0.00325454864457475,1.0,,-0.0746392051586666,1.0,"(0.06469569746719725, 0.14233002839184886)",0.151529033004969,9.13711298093315e-14,"(-0.005962930135062848, 0.027268762101948202)",0.0161490380812346,0.0608498442507695,100009002,52673,HMDB11352,,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,,24769238.0,,724.52757,2123.0,LC/MS Pos Late,,2270.0,Plasmalogen,Lipid,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,metabolite_100009002,0.151529033004969,0.0,0.151529033004969,microbiome,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*
100006260,"(-0.07628496472537576, 0.022886726927433924)",0.00558253560305432,0.826720659091748,,-0.0230354142755797,1.0,"(0.08726325809276896, 0.16210915011587274)",0.174977378598697,1.98463443707337e-19,,-0.00575049857623355,1.0,,-0.0524129945349012,1.0,"(0.06824442542214383, 0.14428851805374093)",0.149787210301763,2.44689261516227e-13,"(-0.01719023174823089, 0.014887307385668727)",0.00372289335219644,0.662430093781145,100006260,48698,,,6-hydroxyindole sulfate,,,,212.0023,4596.0,LC/MS Neg,,2498.0,Chemical,Xenobiotics,6-hydroxyindole sulfate,metabolite_100006260,0.149787210301763,0.0,0.149787210301763,microbiome,6-hydroxyindole sulfate
X - 24473,,-0.0177955743844226,1.0,"(0.05119345298498784, 0.13415152845517953)",0.111334985829099,5.75561174048859e-08,"(0.08763416876475068, 0.16594466466454733)",0.155675530072038,1.85751014520465e-14,"(0.059412287303530986, 0.05941328730353099)",0.0594122873035309,1.95709468186264e-07,,-0.0232823072034384,1.0,"(0.016668806656244844, 0.09658881275252412)",0.090208694430309,1.92545450010192e-05,"(0.025163382162907026, 0.056370893839835456)",0.0484351188095409,1.63221350655173e-09,X - 24473,52790,,,X - 24473,,,,146.08109,,LC/MS Pos Early,,1709.0,,,X - 24473,metabolite_X - 24473,0.090208694430309,0.0594122873035309,0.14962098173383992,hybrid,X - 24473
X - 19434,"(-0.06259954765413994, 0.037311581516861085)",0.0136699480367668,0.595999745587633,,-0.0403630188602956,1.0,"(0.017131580131489254, 0.09077038233966161)",0.0654653956996893,0.000471459738373536,"(0.0769372356591107, 0.0769382356591107)",0.0769372356591107,8.63940752435044e-09,,-0.0383470409188244,1.0,"(0.0092276343650319, 0.08588708061273774)",0.0716682378657352,0.000155473438256564,"(0.01800142151407327, 0.049293103759782644)",0.0437200442295613,1.29106087992277e-07,X - 19434,48772,,,X - 19434,,,,583.3134,,LC/MS Neg,,4539.0,,,X - 19434,metabolite_X - 19434,0.0716682378657352,0.0769372356591107,0.1486054735248459,hybrid,X - 19434
100021104+100001993,"(0.10685286131082651, 0.19668259459513104)",0.210196492374729,5.97972533628581e-21,"(-0.005866757632996428, 0.08333789144098702)",0.0538489418102493,0.0188370678640598,"(0.1087661916978989, 0.17539921950851287)",0.188260359250942,8.93955323329434e-26,"(0.10921583719726813, 0.10921683719726813)",0.109215837197268,4.12478153597957e-12,,-0.0312763650945941,1.0,"(-0.03779296913254003, 0.04592572931554605)",0.0381893492983057,0.0768855222651843,,-0.00656432481104873,1.0,100021104,62921,,,pregnenetriol disulfate*,,,,246.07493,2766.0,LC/MS Neg,,3504.0,Pregnenolone Steroids,Lipid,pregnenetriol disulfate*,metabolite_100021104,0.0381893492983057,0.109215837197268,0.14740518649557371,hybrid,pregnenetriol disulfate*
1135,"(-0.04020003247110293, 0.05318156107931024)",0.0483521110720471,0.0488674864330125,,-0.0404351272606933,1.0,"(0.1163169017365712, 0.18734425750519676)",0.168053825195575,3.61093012841813e-19,,-0.00266136040326969,1.0,,-0.0666137883705819,1.0,"(0.10067486780584425, 0.17826242723214386)",0.144570348279749,4.93441847467162e-12,"(-0.0145910384919003, 0.017598949457383876)",0.00408466454022682,0.623043679741264,1135,1605,HMDB00946,,ursodeoxycholate,128-13-2,29131.0,C07880,391.28538,2632.0,LC/MS Neg,31401.0,5055.0,Secondary Bile Acid Metabolism,Lipid,ursodeoxycholate,metabolite_1135,0.144570348279749,0.0,0.144570348279749,microbiome,ursodeoxycholate
100015967,"(0.0030085487200530166, 0.09564479632626681)",0.0833933628866679,0.000419160196845246,"(0.10452670507886803, 0.17801343053375443)",0.168219721389577,4.75037142458399e-18,"(0.2117301892882729, 0.2732569279032526)",0.279484114589968,2.8058381219582e-65,,-0.00394424923704295,1.0,"(-0.015074907308975557, 0.07197157328401413)",0.0644029744673623,0.00541544895792617,"(0.06271971473222338, 0.13334906146266864)",0.143622618924661,1.64113756228237e-14,,-0.0131085715366567,1.0,100015967,57636,,,carotene diol (2),,,,568.42793,4027.0,LC/MS Pos Late,,1904.0,Food Component/Plant,Xenobiotics,carotene diol (2),metabolite_100015967,0.143622618924661,0.0,0.143622618924661,microbiome,carotene diol (2)
100001614,,-0.0629377449081975,1.0,,-0.0548049598792854,1.0,,-0.0721237255420517,1.0,"(0.1430922028496504, 0.1430932028496504)",0.14309220284965,1.67027906495573e-15,,-0.0927136161403734,1.0,,-0.114861384957889,1.0,,-0.00479967059099628,1.0,100001614,35678,HMDB00672,,hexadecanedioate,505-54-4,10027.0,C19615,285.20713,1274.0,LC/MS Neg,10459.0,4615.0,"Fatty Acid, Dicarboxylate",Lipid,hexadecanedioate,metabolite_100001614,0.0,0.14309220284965,0.14309220284965,genetics,hexadecanedioate
806,"(-0.07775281871065967, 0.029241688930920245)",0.00726203890860888,0.787651729124571,,-0.109318616038539,1.0,,-0.0740774618597959,1.0,"(0.14128476786456454, 0.14128576786456454)",0.141284767864564,2.09168414077682e-15,,-0.0481849743125157,1.0,,-0.106518260184743,1.0,,-0.00652071757003747,1.0,806,5086,HMDB00092,,dimethylglycine,1118-68-9,653.0,C01026,104.07061,5.0,LC/MS Pos Early,673.0,1104.0,"Glycine, Serine and Threonine Metabolism",Amino Acid,dimethylglycine,metabolite_806,0.0,0.141284767864564,0.141284767864564,genetics,dimethylglycine
100001869,"(-0.028302718057958993, 0.06453722013363403)",0.0475264351599743,0.0471152175881424,,-0.0785969476495429,1.0,"(-0.03521125076527163, 0.04143071422874294)",0.00767666696181268,0.706170378334956,"(0.1408944511873219, 0.1408954511873219)",0.140894451187321,1.97027118970699e-15,,-0.0110534680913376,1.0,,-0.059910507532138,1.0,"(-0.005580184329532362, 0.028216809324359028)",0.0125615140637591,0.140490724353443,100001869,42450,HMDB08048,,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),35418-59-8,17347139.0,,810.60074,1753.0,LC/MS Pos Late,16219824.0,2300.0,Phosphatidylcholine (PC),Lipid,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),metabolite_100001869,0.0,0.140894451187321,0.140894451187321,genetics,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)
100001510,,-0.0572983191650486,1.0,,-0.0492982567940056,1.0,"(0.038484864190827306, 0.12389214784553632)",0.128845424668234,3.27858690815132e-09,,-0.00714058040868059,1.0,,-0.0223817455053803,1.0,"(0.0550256333908403, 0.14244279243385458)",0.139826871170068,1.24778162337896e-09,,-0.00838656613035682,1.0,100001510,32553,HMDB60015,,phenol sulfate,937-34-8,67018.0,C02180,172.9914,140.0,LC/MS Neg,74426.0,2156.0,Tyrosine Metabolism,Amino Acid,phenol sulfate,metabolite_100001510,0.139826871170068,0.0,0.139826871170068,microbiome,phenol sulfate
100001509,"(0.13877724021080737, 0.2178990209322392)",0.222433775587746,2.06827419105158e-28,"(0.002129599785461395, 0.08709467905355481)",0.0594734931106681,0.0062105319437733,"(0.17080356979496247, 0.24020799213918997)",0.254714833653846,5.24289956872154e-47,"(0.06491287233728071, 0.06491387233728071)",0.0649128723372807,1.26587191544881e-07,,-0.0181549807985148,1.0,"(-0.006401611093855941, 0.08011447125952359)",0.0749093726729036,0.000575805430424473,"(-0.002752638315864053, 0.028524097635425995)",0.0147867517172087,0.0685901523387966,100001509,45095,HMDB00378,,2-methylbutyrylcarnitine (C5),31023-25-3,4932320.0,,246.16999,284.0,LC/MS Pos Early,6426901.0,3035.0,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,2-methylbutyrylcarnitine (C5),metabolite_100001509,0.0749093726729036,0.0649128723372807,0.1398222450101843,hybrid,2-methylbutyrylcarnitine (C5)
X - 12718,"(0.0031929610263940365, 0.09796428816514627)",0.0819969527598803,0.000664990343227015,,-0.0115867542526377,1.0,"(0.17836113292246536, 0.24294562527331234)",0.236670523363523,6.51711452310514e-45,,-0.00418429329931546,1.0,,-0.0916744770434168,1.0,"(0.07908807876279639, 0.15378140329555257)",0.138916629066968,4.93551734976021e-13,,-0.008919083018597,1.0,X - 12718,46973,,,X - 12718,,,,324.07389,,LC/MS Neg,,1750.0,,,candidate structure is an aromatic amino acid related metabolite,metabolite_X - 12718,0.138916629066968,0.0,0.138916629066968,microbiome,X - 12718
100001256,"(0.04479569761281353, 0.13016258212702606)",0.101654310506607,8.78261614251603e-06,,-0.0790906750425695,1.0,"(0.027090690423456375, 0.10783531440619792)",0.0980536657659672,1.3665878597191e-06,"(0.1380870728284428, 0.1380880728284428)",0.138087072828442,5.59220828681478e-15,,-0.0721627905947823,1.0,,-0.0295753947671473,1.0,"(0.025759477616013722, 0.05723435188600723)",0.0494004931571837,9.16624440000777e-10,100001256,33950,HMDB00512,,N-acetylphenylalanine,2018-61-3,67404.0,C03519,206.08226,110.0,LC/MS Neg,74839.0,2597.0,Phenylalanine Metabolism,Amino Acid,N-acetylphenylalanine,metabolite_100001256,0.0,0.138087072828442,0.138087072828442,genetics,N-acetylphenylalanine
100004575,"(-0.05580525112081139, 0.0394700710622793)",0.00741572281267388,0.771089038739272,"(0.13246725620927302, 0.20394829299086642)",0.165570181308151,1.22735454231572e-18,"(0.15092591587651433, 0.21566733436807933)",0.206844230777086,3.6568669550488e-33,,-0.0255795435648493,1.0,"(-0.0791408437684289, 0.01573223421506608)",0.000687622592631887,0.977341941426925,"(0.07985746949021846, 0.15017550696136603)",0.137415242941324,4.79055260512343e-15,,-0.00777055529876591,1.0,100004575,43591,,,"N2,N5-diacetylornithine",39825-23-5,8573834.0,,215.10373,366.0,LC/MS Neg,10398396.0,1367.0,Urea cycle; Arginine and Proline Metabolism,Amino Acid,"N2,N5-diacetylornithine",metabolite_100004575,0.137415242941324,0.0,0.137415242941324,microbiome,"N2,N5-diacetylornithine"
X - 11372+X - 11880,"(0.09290757032322616, 0.18421218885716473)",0.196816587944853,9.0180136876825e-18,"(0.2765589606931011, 0.34572192965117743)",0.34311507421889,9.76792368350789e-77,"(0.29550587715478116, 0.35727368745589994)",0.371619802514994,2.03145411625496e-105,,-0.00322181560238576,1.0,,-0.0332099409900026,1.0,"(0.058833775400334826, 0.13590467497678735)",0.136144573117955,2.4421663860596e-11,,-0.00532560081972266,1.0,X - 11372,46594,,,X - 11372,,,,467.37301,,LC/MS Neg,,5319.0,,,X - 11372,metabolite_X - 11372,0.136144573117955,0.0,0.136144573117955,microbiome,X - 11372
X - 12730,"(-0.07192819779253366, 0.015963087729498004)",0.0350350021267213,0.13573412301791,"(0.07779160909691786, 0.14916598690258528)",0.123552659364663,1.12791060601451e-10,"(0.18574093287913734, 0.24970325158631185)",0.270218595690024,6.1915868774687e-58,,-0.00470319601875157,1.0,,-0.0664972272931572,1.0,"(0.08082339743726476, 0.1532608862204854)",0.135793741035517,2.43149579570852e-13,"(0.024408039849458715, 0.05497333990046044)",0.0488387234293127,6.87749432890885e-10,X - 12730,47937,,,X - 12730,,,,203.99736,,LC/MS Neg,,2048.0,,,X - 12730,metabolite_X - 12730,0.135793741035517,0.0,0.135793741035517,microbiome,X - 12730
X - 21339,"(0.029460877165843998, 0.12316811760212566)",0.113236597642886,1.82857557937914e-06,"(0.2394597917517164, 0.30835836087320956)",0.304517751663223,9.81603475142354e-61,"(0.24604034572814606, 0.31021416418566167)",0.320416385672228,2.31141467141251e-75,,-0.0145240110639037,1.0,,-0.0411726477343623,1.0,"(0.04015494379812131, 0.12083598523855449)",0.135466339446958,3.7160086240239e-11,,-0.0050371042765176,1.0,X - 21339,46384,,,X - 21339,,,,453.32262,,LC/MS Neg,,5105.0,,,X - 21339,metabolite_X - 21339,0.135466339446958,0.0,0.135466339446958,microbiome,X - 21339
X - 21752,"(-0.03562603444996582, 0.057719178852483774)",0.0524484652994015,0.0284786514435899,"(0.18395427889330404, 0.2587817905161878)",0.239735628811659,1.47482660995755e-33,"(0.24798054354631152, 0.31217661442030026)",0.317115429956413,7.53407300615991e-79,,-0.0278013560673819,1.0,,-0.0152174818200439,1.0,"(0.08089941194864869, 0.1503726488577118)",0.135384895281427,4.81171427489528e-13,,-0.00295762502073948,1.0,X - 21752,46923,,,X - 21752,,,,621.33067,,LC/MS Neg,,5090.0,,,X - 21752,metabolite_X - 21752,0.135384895281427,0.0,0.135384895281427,microbiome,X - 21752
1258,"(-0.06025327087576548, 0.036583404549216055)",0.0146962878983955,0.552566323884039,,-0.051806080414219,1.0,"(0.08306674653166242, 0.15753805751253327)",0.153529166916709,4.30173312825879e-16,,-0.000469855552196918,1.0,,-0.0429435768858215,1.0,"(0.06874121496539572, 0.14169839595720815)",0.133691247009656,4.57973012288337e-13,"(-0.018939577260073528, 0.013640278160036452)",0.00769504692172362,0.360325681172727,1258,4970,HMDB01123,,anthranilate,118-92-3,222.0,C00108,138.05496,215.0,LC/MS Pos Early,227.0,2606.0,Tryptophan Metabolism,Amino Acid,anthranilate,metabolite_1258,0.133691247009656,0.0,0.133691247009656,microbiome,anthranilate
X - 11593,"(0.1492716423325056, 0.23063877601451005)",0.216908374459179,1.75911144513326e-23,,-0.0542845179121029,1.0,"(0.14510420085933348, 0.22826783181619778)",0.206491748312633,3.8111410352157e-23,"(0.13327246717224714, 0.13327346717224714)",0.133272467172247,1.05162463098841e-14,,-0.0269949492703709,1.0,,-0.016089597640535,1.0,,-0.00589827502051543,1.0,X - 11593,47653,,,X - 11593,,,,189.04066,,LC/MS Neg,,764.0,,,X - 11593,metabolite_X - 11593,0.0,0.133272467172247,0.133272467172247,genetics,X - 11593
192,"(-0.08590808926122823, 0.017057847733970437)",0.00229190565438108,0.928873870882193,,-0.0715102728418262,1.0,,-0.0107719860517887,1.0,"(0.13320624429704053, 0.13320724429704053)",0.13320624429704,9.27723263656205e-15,,-0.0722542685841993,1.0,,-0.0392451531268962,1.0,,-0.00595536389261019,1.0,192,37496,HMDB02064,,N-acetylputrescine,18233-70-0,109095.0,C02714,131.11789,397.0,LC/MS Pos Early,122356.0,2230.0,Polyamine Metabolism,Amino Acid,N-acetylputrescine,metabolite_192,0.0,0.13320624429704,0.13320624429704,genetics,N-acetylputrescine
100001612,,-0.0321565324236108,1.0,,-0.0888935027422233,1.0,,-0.0405709364002393,1.0,"(0.13137905132505046, 0.13138005132505046)",0.13137905132505,1.87002525697056e-14,,-0.0592842539921236,1.0,,-0.0610429701301147,1.0,"(-0.008015316496196677, 0.02339753767220326)",0.0141728608280273,0.0808575152634781,100001612,35665,HMDB01067,,N-acetyl-aspartyl-glutamate (NAAG),3106-85-2,5065.0,C12270,305.09795,50.0,LC/MS Pos Early,5255.0,1035.0,Glutamate Metabolism,Amino Acid,N-acetyl-aspartyl-glutamate (NAAG),metabolite_100001612,0.0,0.13137905132505,0.13137905132505,genetics,N-acetyl-aspartyl-glutamate (NAAG)
100008914,"(-0.04051357607536928, 0.05782874953534977)",0.0550526867584696,0.0234921325591279,"(-0.032690029066720076, 0.05120817915151011)",0.0154535340033947,0.485495853581693,"(-0.010249193593665855, 0.06631809807145114)",0.070505662246154,0.00031278044713715,"(0.12937649344013702, 0.12937749344013702)",0.129376493440137,2.48491527052662e-14,,-0.0473717021209667,1.0,,-0.022100862612455,1.0,"(-0.012521723617201675, 0.01976949632514269)",0.0133292253330388,0.106231815925609,100008914,52462,HMDB07982,,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),35418-58-7,8923140.0,,782.56944,1701.0,LC/MS Pos Late,10747814.0,2091.0,Phosphatidylcholine (PC),Lipid,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),metabolite_100008914,0.0,0.129376493440137,0.129376493440137,genetics,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)
X - 12283,,-0.0444808336182718,1.0,"(0.03515137321960469, 0.11451804303136032)",0.0800804153912869,7.39881220268082e-05,"(0.12925947166594057, 0.1958319531788251)",0.179536993208519,7.35137210641243e-25,,-0.00388465945731852,1.0,,-0.030850753807986,1.0,"(0.1028131121424847, 0.17162934500233376)",0.129358608347375,1.01547708331345e-12,"(-0.018734742504251226, 0.015422308392475076)",2.19233107048299e-05,0.998010684536455,X - 12283,47708,,,X - 12283,,,,245.09167,,LC/MS Pos Early,,2646.0,,,candidate structure is an aromatic amino acid related metabolite,metabolite_X - 12283,0.129358608347375,0.0,0.129358608347375,microbiome,X - 12283
X - 17145,"(-0.05664527670889382, 0.047756158346635005)",0.0186039587379242,0.4818708895273,"(0.16403597965879455, 0.24223704005775287)",0.254546149902523,6.80928706002701e-36,"(0.2364337674662943, 0.31730702664631083)",0.318405405565016,1.67157373240724e-49,,-0.00465098929577956,1.0,"(-0.07123331009416038, 0.028289256947381318)",0.0537991436342862,0.0342087980263991,"(0.08784544670476699, 0.19627293043687302)",0.127712363859806,7.31368335199215e-06,,-0.00635148620377523,1.0,X - 17145,46689,,,branched chain 14:0 dicarboxylic acid**,,,,257.1761,,LC/MS Neg,,3862.0,"Fatty Acid, Dicarboxylate",Lipid,X - 17145,metabolite_X - 17145,0.127712363859806,0.0,0.127712363859806,microbiome,branched chain 14:0 dicarboxylic acid**
X - 11308,"(0.17963456511076667, 0.2526087602607488)",0.257485105328241,2.36821581766626e-39,"(0.27307566453807497, 0.34152800743971196)",0.354215238384977,3.9601232093605e-80,"(0.31248226381450867, 0.3726519604817345)",0.38784542873456,9.5234288883419e-131,"(0.024353529482150305, 0.024354529482150306)",0.0243535294821503,0.000684101411781955,,-0.0331714659392037,1.0,"(0.04095223355550364, 0.11694306079764599)",0.102832304987135,1.30195318099425e-07,,-0.000148799995514981,1.0,X - 11308,46390,,,X - 11308,,,,365.2704,,LC/MS Neg,,5163.0,,,X - 11308,metabolite_X - 11308,0.102832304987135,0.0243535294821503,0.1271858344692853,hybrid,X - 11308
100004299,"(-0.08561570000431322, 0.014143540433860652)",0.02525045600869,0.31160867715188,,-0.0262067685816458,1.0,"(-0.015367510097779234, 0.06232060400126152)",0.0623015440345032,0.00152256171188941,"(0.12222435952493893, 0.12222535952493893)",0.122224359524938,1.77207186651389e-13,,-0.0762123641421286,1.0,"(-0.05627852367832759, 0.01832061524626575)",0.00487322850945592,0.807918290289585,,-0.0146129932574829,1.0,100004299,43255,,,N-acetyl-1-methylhistidine*,,,,212.1028,67.0,LC/MS Pos Early,193270.0,2100.0,Histidine Metabolism,Amino Acid,N-acetyl-1-methylhistidine*,metabolite_100004299,0.00487322850945592,0.122224359524938,0.12709758803439392,hybrid,N-acetyl-1-methylhistidine*
X - 22162,,-0.00214462944863869,1.0,"(-0.009798963693767242, 0.07114959500561105)",0.0482033626907897,0.0281997463909258,"(0.12829003484863447, 0.19730045415424377)",0.212587906314816,3.12335812254363e-32,,-0.00642695081748767,1.0,,-0.00690442841670724,1.0,"(0.07594173449988555, 0.14773584584944122)",0.12658531435344,9.91832966521419e-12,"(0.05496077773319678, 0.08542347941947834)",0.0794367589897867,5.92489565528318e-23,X - 22162,47417,,,X - 22162,,,,150.05828,,LC/MS Pos Early,,960.0,,,X - 22162,metabolite_X - 22162,0.12658531435344,0.0,0.12658531435344,microbiome,X - 22162
X - 21286,,-0.0659321177440401,1.0,,-0.0295448864709022,1.0,"(0.09282699916049253, 0.16241006480879727)",0.160229119816253,5.54580066894513e-19,,-0.00513957821898314,1.0,,-0.0208362494746996,1.0,"(0.05871945128899793, 0.12985173155936383)",0.126149955728482,4.43126834331704e-11,,-0.00521082510672465,1.0,X - 21286,46295,,,X - 21286,,,,164.0355,,LC/MS Neg,,1550.0,,,candidate structure is pyridine related,metabolite_X - 21286,0.126149955728482,0.0,0.126149955728482,microbiome,X - 21286
100005383,,-0.057741567014321,1.0,,-0.0953827561170241,1.0,,-0.108994801269089,1.0,"(0.1250638347766485, 0.1250648347766485)",0.125063834776648,1.26663417986134e-13,,-0.037162831498374,1.0,,-0.130194352110118,1.0,"(0.005062532663555059, 0.0365855254887506)",0.028939159551876,0.000294392841204179,100005383,47101,,,N-methylpipecolate,41447-17-0,9461516.0,,144.10191,4077.0,LC/MS Pos Early,11286529.0,1932.0,Bacterial/Fungal,Xenobiotics,N-methylpipecolate,metabolite_100005383,0.0,0.125063834776648,0.125063834776648,genetics,N-methylpipecolate
X - 21736,"(-0.05046009551026325, 0.04588925705758261)",0.0554107163758854,0.02914069375425,"(0.15683651758322953, 0.2448318993395206)",0.248676559422082,2.02315551497257e-27,"(0.17895606107629086, 0.26299218395013685)",0.285674241275661,1.91161006002879e-37,,-0.0473883400100214,1.0,,-0.0520791067940511,1.0,"(0.024407086157121154, 0.11470961197942449)",0.121666645009868,9.58991211419466e-08,,-0.000766244451116504,1.0,X - 21736,46905,,,X - 21736,,,,183.13916,,LC/MS Neg,,3345.0,,,X - 21736,metabolite_X - 21736,0.121666645009868,0.0,0.121666645009868,microbiome,X - 21736
100000436,,-0.078167776564622,1.0,,-0.0523232321410014,1.0,"(0.060912701937905656, 0.1337850012141495)",0.119544711515994,2.53856812095046e-10,,-0.0130135498823948,1.0,,-0.035001856217558,1.0,"(0.0698929059342565, 0.14790786302932604)",0.120024945154933,7.96547866191843e-10,,-0.0210501750900171,1.0,100000436,18477,HMDB00631,,glycodeoxycholate,360-65-6,,C05464,448.30684,2622.0,LC/MS Neg,3035026.0,5281.0,Secondary Bile Acid Metabolism,Lipid,glycodeoxycholate,metabolite_100000436,0.120024945154933,0.0,0.120024945154933,microbiome,glycodeoxycholate
X - 24243,"(-0.07483025021516646, 0.01915313968153278)",0.0126564821296714,0.60316482447054,"(0.007723320171314821, 0.09449279187777321)",0.0367515899478991,0.0919226307842689,"(0.11148112884517884, 0.1838339143958918)",0.173297844819977,5.90559789279392e-21,,-0.00355799919162724,1.0,,-0.0610896574047816,1.0,"(0.06661301215428002, 0.14434292445977406)",0.119151183414261,5.88758353884407e-09,"(-0.01638994291821132, 0.01677396471574351)",0.00854322229780446,0.304135075256145,X - 24243,52286,,,X - 24243,,,,132.06546,,LC/MS Pos Early,,1003.0,,,candidate structure is piperidine related,metabolite_X - 24243,0.119151183414261,0.0,0.119151183414261,microbiome,X - 24243
100001551,,-0.0455079130304365,1.0,,-0.07579773520347,1.0,,-0.061385324375464,1.0,"(0.11882870276423095, 0.11882970276423095)",0.11882870276423,2.63957614760843e-13,,-0.0633880870582108,1.0,,-0.0278789777925199,1.0,,-0.0123217005809237,1.0,100001551,33228,HMDB10395,,1-arachidonoyl-GPC (20:4n6)*,,21403155.0,C05208,544.33977,1963.0,LC/MS Pos Late,,1460.0,Lysophospholipid,Lipid,1-arachidonoyl-GPC (20:4n6)*,metabolite_100001551,0.0,0.11882870276423,0.11882870276423,genetics,1-arachidonoyl-GPC (20:4n6)*
X - 11441+X - 11442+X - 11522+X - 11530,"(-0.047004921986998856, 0.043542880944882296)",0.0439727395742488,0.0614464926362921,"(-0.04261066964733106, 0.045668375929946964)",0.00252890581314968,0.913025980277223,"(0.002878084212655038, 0.07495672141551413)",0.0808082294774698,1.00660426656581e-05,"(0.11774942046767367, 0.11775042046767367)",0.117749420467673,7.13552860865437e-13,,-0.0627061139918685,1.0,,-0.0108187583931191,1.0,,-0.00234247447780999,1.0,X - 11441,46360,,,"bilirubin degradation product, C17H20N2O5 (1)**",,,,331.13075,,LC/MS Neg,,3755.8,Partially Characterized Molecules,Partially Characterized Molecules,X - 11441,metabolite_X - 11441,0.0,0.117749420467673,0.117749420467673,genetics,"bilirubin degradation product, C17H20N2O5 (1)**"
X - 19141,,-0.0469254439821567,1.0,,-0.0436091406351826,1.0,,-0.0342723241074429,1.0,"(0.11742874351686505, 0.11742974351686505)",0.117428743516865,5.71277630312614e-13,,-0.0821388757775727,1.0,,-0.0428017996386238,1.0,,-0.0144962043557297,1.0,X - 19141,46701,,,X - 19141,,,,415.197,,LC/MS Neg,,3705.0,,,X - 19141,metabolite_X - 19141,0.0,0.117428743516865,0.117428743516865,genetics,X - 19141
100001294+340,"(0.020109857704086777, 0.11110518105254406)",0.106868113118711,6.11858676663957e-06,"(-0.04024926252457382, 0.04642241409021361)",0.0188653629391278,0.410943998574562,"(0.009805021329517194, 0.08758905155894206)",0.0676921249253337,0.000539476433319673,"(0.11738474519439125, 0.11738574519439125)",0.117384745194391,7.77659228176629e-13,,-0.065078694270054,1.0,,-0.0271098229445303,1.0,,-0.00717786468294812,1.0,100001294,33949,HMDB11667,,gamma-glutamylglycine,1948-29-4,145071.0,,205.0819,432.0,LC/MS Pos Early,165527.0,1535.0,Gamma-glutamyl Amino Acid,Peptide,gamma-glutamylglycine,metabolite_100001294,0.0,0.117384745194391,0.117384745194391,genetics,gamma-glutamylglycine
